Espécie	Nome Popular	Guilda	Habitat	Descrição	Na Tabela
Columbina squammata	rolinha-fogo-apagou	Lesson	1831	Columbiformes	Columbidae	✓
Columbina talpacoti	rolinha-roxa	Temminck	1811	Columbiformes	Columbidae	✓
Conirostrum bicolor	figuinha-do-mangue	Vieillot	1809	Passeriformes	Thraupidae	✓
Conirostrum speciosum	figuinha-de-rabo-castanho	Temminck	1824	Passeriformes	Thraupidae	✓
Conopias trivirgatus	bem-te-vi-pequeno	Wied	1831	Passeriformes	Tyrannidae	✓
Conopophaga lineata	chupa-dente	Wied	1831	Passeriformes	Conopophagidae	✓
Conopophaga melanops	cuspidor-de-máscara-preta	Vieillot	1818	Passeriformes	Conopophagidae	✓
Contopus cinereus	papa-moscas-cinzento	Spix	1825	Passeriformes	Tyrannidae	✓
Coragyps atratus	urubu-preto	Bechstein	1793	Cathartiformes	Cathartidae	✓
Corythopis delalandi	estalador	Lesson	1830	Passeriformes	Rhynchocyclidae	✓
Coscoroba coscoroba	capororoca	Molina	1782	Anseriformes	Anatidae	✓
Cranioleuca obsoleta	arredio-oliváceo	Reichenbach	1853	Passeriformes	Furnariidae	✓
Cranioleuca pallida	arredio-pálido	Wied	1831	Passeriformes	Furnariidae	✓
Crotophaga ani	anu-preto	Linnaeus	1758	Cuculiformes	Cuculidae	✓
Crotophaga major	anu-coroca	Gmelin	1788	Cuculiformes	Cuculidae	✓
Cryptopezus nattereri	pinto-do-mato	Hellmayr	1907	Passeriformes	Grallariidae	✓
Crypturellus noctivagus	jaó-do-sul	Wied	1820	Tinamiformes	Tinamidae	✓
Crypturellus obsoletus	inhambuguaçu	Temminck	1815	Tinamiformes	Tinamidae	✓
Crypturellus parvirostris	inhambu-chororó	Wagler	1827	Tinamiformes	Tinamidae	✓
Crypturellus tataupa	inhambu-chintã	Temminck	1815	Tinamiformes	Tinamidae	✓
Culicivora caudacuta	papa-moscas-do-campo	Vieillot	1818	Passeriformes	Tyrannidae	✓
Cyanerpes cyaneus	saíra-beija-flor	Linnaeus	1766	Passeriformes	Thraupidae	✓
Cyanocorax caeruleus	gralha-azul	Vieillot	1818	Passeriformes	Corvidae	✓
Cyanocorax chrysops	gralha-picaça	Vieillot	1818	Passeriformes	Corvidae	✓
Cyanocorax cristatellus	gralha-do-campo	Temminck	1823	Passeriformes	Corvidae	✓
Cyanoloxia brissonii	azulão	Lichtenstein	1823	Passeriformes	Cardinalidae	✓
Cyanoloxia glaucocaerulea	azulinho	d'Orbigny & Lafresnaye	1837	Passeriformes	Cardinalidae	✓
Cyanophonia cyanocephala	gaturamo-rei	Wied	1820	Passeriformes	Fringillidae	✓
Cyclarhis gujanensis	pitiguari	Gmelin	1789	Passeriformes	Vireonidae	✓
Cypseloides fumigatus	taperuçu-preto	Streubel	1848	Apodiformes	Apodidae	✓
Cypseloides senex	taperuçu-velho	Temminck	1826	Apodiformes	Apodidae	✓
Dacnis cayana	saí-azul	Linnaeus	1766	Passeriformes	Thraupidae	✓
Dacnis nigripes	saí-de-pernas-pretas	Pelzeln	1856	Passeriformes	Thraupidae	✓
Daption capense	pomba-do-cabo	Linnaeus	1758	Procellariiformes	Procellariidae	✓
Dendrocincla turdina	arapaçu-liso	Lichtenstein	1820	Passeriformes	Dendrocolaptidae	✓
Dendrocolaptes platyrostris	arapaçu-grande	Spix	1825	Passeriformes	Dendrocolaptidae	✓
Dendrocygna autumnalis	marreca-cabocla	Linnaeus	1758	Anseriformes	Anatidae	✓
Dendrocygna bicolor	marreca-caneleira	Vieillot	1816	Anseriformes	Anatidae	✓
Dendrocygna viduata	irerê	Linnaeus	1766	Anseriformes	Anatidae	✓
Dendroma rufa	limpa-folha-de-testa-baia	Lesson	1830	Passeriformes	Furnariidae	✓
Diomedea dabbenena	albatroz-de-tristão	Mathews	1929	Procellariiformes	Diomedeidae	✓
Diomedea exulans	albatroz-errante	Linnaeus	1758	Procellariiformes	Diomedeidae	✓
Donacospiza albifrons	tico-tico-do-banhado	Vieillot	1817	Passeriformes	Thraupidae	✓
Dromococcyx pavoninus	peixe-frito-pavonino	Pelzeln	1870	Cuculiformes	Cuculidae	✓
Dromococcyx phasianellus	peixe-frito	Spix	1824	Cuculiformes	Cuculidae	✓
Drymophila ferruginea	dituí	Temminck	1822	Passeriformes	Thamnophilidae	✓
Drymophila malura	choquinha-carijó	Temminck & Laugier	1830	Passeriformes	Thamnophilidae	✓
Drymophila ochropyga	choquinha-de-dorso-vermelho	Hellmayr	1906	Passeriformes	Thamnophilidae	✓
Drymophila rubricollis	choquinha-dublê	Bertoni	1901	Passeriformes	Thamnophilidae	✓
Drymophila squamata	pintadinho	Lichtenstein	1823	Passeriformes	Thamnophilidae	✓
Dryocopus lineatus	pica-pau-de-banda-branca	Linnaeus	1766	Piciformes	Picidae	✓
Dysithamnus mentalis	choquinha-lisa	Temminck	1823	Passeriformes	Thamnophilidae	✓
Dysithamnus stictothorax	choquinha-de-peito-pintado	Sclater & Salvin	1880	Passeriformes	Thamnophilidae	✓
Dysithamnus xanthopterus	choquinha-de-asa-ferrugem	Burmeister	1856	Passeriformes	Thamnophilidae	✓
Egretta caerulea	garça-azul	Linnaeus	1758	Pelecaniformes	Ardeidae	✓
Egretta thula	garça-branca-pequena	Molina	1782	Pelecaniformes	Ardeidae	✓
Elaenia chilensis	guaracava-de-crista-branca	Hellmayr	1927	Passeriformes	Tyrannidae	✓
Elaenia flavogaster	guaracava-de-barriga-amarela	Thunberg	1822	Passeriformes	Tyrannidae	✓
Elaenia mesoleuca	tuque	Deppe	1830	Passeriformes	Tyrannidae	✓
Elaenia obscura	tucão	d'Orbigny & Lafresnaye	1837	Passeriformes	Tyrannidae	✓
Elaenia parvirostris	tuque-pium	Pelzeln	1868	Passeriformes	Tyrannidae	✓
Elaenia spectabilis	guaracava-grande	Pelzeln	1868	Passeriformes	Tyrannidae	✓
Elanoides forficatus	gavião-tesoura	Linnaeus	1758	Accipitriformes	Accipitridae	✓
Elanus leucurus	gavião-peneira	Vieillot	1818	Accipitriformes	Accipitridae	✓
Eleoscytalopus indigoticus	macuquinho	Wied	1831	Passeriformes	Rhinocryptidae	✓
Emberizoides herbicola	canário-do-campo	Vieillot	1817	Passeriformes	Thraupidae	✓
Emberizoides ypiranganus	canário-do-brejo	Ihering & Ihering	1907	Passeriformes	Thraupidae	✓
Embernagra platensis	sabiá-do-banhado	Gmelin	1789	Passeriformes	Thraupidae	✓
Empidonomus varius	peitica	Vieillot	1818	Passeriformes	Tyrannidae	✓
Estrilda astrild	bico-de-lacre	Linnaeus	1758	Passeriformes	Estrildidae	✓
Eudocimus ruber	guará	Linnaeus	1758	Pelecaniformes	Threskiornithidae	✓
Eupetomena macroura	beija-flor-tesoura	Gmelin	1788	Apodiformes	Trochilidae	✓
Euphonia chalybea	cais-cais	Mikan	1825	Passeriformes	Fringillidae	✓
Euphonia chlorotica	fim-fim	Linnaeus	1766	Passeriformes	Fringillidae	✓
Euphonia pectoralis	ferro-velho	Latham	1801	Passeriformes	Fringillidae	✓
Euphonia violacea	gaturamo-verdadeiro	Linnaeus	1758	Passeriformes	Fringillidae	✓
Euscarthmus meloryphus	barulhento	Wied	1831	Passeriformes	Tyrannidae	✓
Falco femoralis	falcão-de-coleira	Temminck	1822	Falconiformes	Falconidae	✓
Falco peregrinus	falcão-peregrino	Tunstall	1771	Falconiformes	Falconidae	✓
Falco rufigularis	cauré	Daudin	1800	Falconiformes	Falconidae	✓
Falco sparverius	quiriquiri	Linnaeus	1758	Falconiformes	Falconidae	✓
Florisuga fusca	beija-flor-preto	Vieillot	1817	Apodiformes	Trochilidae	✓
Fluvicola albiventer	lavadeira-de-cara-branca	Spix	1825	Passeriformes	Tyrannidae	✓
Fluvicola nengeta	lavadeira-mascarada	Linnaeus	1766	Passeriformes	Tyrannidae	✓
Formicarius colma	galinha-do-mato	Boddaert	1783	Passeriformes	Formicariidae	✓
Formicivora acutirostris	bicudinho-do-brejo	Wied	1831	Passeriformes	Thamnophilidae	✓
Forpus xanthopterygius	tuim	Spix	1824	Psittaciformes	Psittacidae	✓
Fregata magnificens	fragata	Mathews	1914	Suliformes	Fregatidae	✓
Fulica armillata	carqueja-de-bico-manchado	Vieillot	1817	Gruiformes	Rallidae	✓
Fulica leucoptera	carqueja-de-bico-amarelo	Vieillot	1817	Gruiformes	Rallidae	✓
Fulica rufifrons	carqueja-de-escudo-vermelho	Philippi & Landbeck	1861	Gruiformes	Rallidae	✓
Fulmarus glacialoides	pardelão-prateado	Smith	1840	Procellariiformes	Procellariidae	✓
Furnarius figulus	casaca-de-couro-da-lama	Lichtenstein	1823	Passeriformes	Furnariidae	✓
Furnarius rufus	joão-de-barro	Gmelin	1788	Passeriformes	Furnariidae	✓
Gallinago paraguaiae	narceja	Vieillot	1816	Charadriiformes	Scolopacidae	✓
Gallinago undulata	narcejão	Boddaert	1783	Charadriiformes	Scolopacidae	✓
Gallinula galeata	galinha-d'água	Lichtenstein	1818	Gruiformes	Rallidae	✓
Geositta cunicularia	curriqueiro	Vieillot	1816	Passeriformes	Scleruridae	✓
Geothlypis aequinoctialis	pia-cobra	Gmelin	1789	Passeriformes	Parulidae	✓
Geotrygon montana	pariri	Linnaeus	1758	Columbiformes	Columbidae	✓
Geranoaetus albicaudatus	gavião-de-rabo-branco	Vieillot	1816	Accipitriformes	Accipitridae	✓
Geranoaetus melanoleucus	águia-serrana	Vieillot	1819	Accipitriformes	Accipitridae	✓
Geranospiza caerulescens	gavião-pernilongo	Vieillot	1817	Accipitriformes	Accipitridae	✓
Glaucidium brasilianum	caburé	Gmelin	1788	Strigiformes	Strigidae	✓
Glaucidium minutissimum	caburé-miudinho	Wied	1830	Strigiformes	Strigidae	✓
Gnorimopsar chopi	pássaro-preto	Vieillot	1819	Passeriformes	Icteridae	✓
Grallaria varia	tovacuçu	Boddaert	1783	Passeriformes	Grallariidae	✓
Griseotyrannus aurantioatrocristatus	peitica-de-chapéu-preto	d'Orbigny & Lafresnaye	1837	Passeriformes	Tyrannidae	✓
Gubernetes yetapa	tesoura-do-brejo	Vieillot	1818	Passeriformes	Tyrannidae	✓
Guira guira	anu-branco	Gmelin	1788	Cuculiformes	Cuculidae	✓
Habia rubica	tiê-de-bando	Vieillot	1817	Passeriformes	Cardinalidae	✓
Haematopus palliatus	piru-piru	Temminck	1820	Charadriiformes	Haematopodidae	✓
Haplospiza unicolor	cigarra-bambu	Cabanis	1851	Passeriformes	Thraupidae	✓
Harpagus diodon	gavião-bombachinha	Temminck	1823	Accipitriformes	Accipitridae	✓
Heliobletus contaminatus	trepadorzinho	Berlepsch	1885	Passeriformes	Furnariidae	✓
Heliodoxa rubricauda	beija-flor-rubi	Boddaert	1783	Apodiformes	Trochilidae	✓
Heliomaster furcifer	bico-reto-azul	Shaw	1812	Apodiformes	Trochilidae	✓
Heliornis fulica	picaparra	Boddaert	1783	Gruiformes	Heliornithidae	✓
Hemithraupis guira	saíra-de-papo-preto	Linnaeus	1766	Passeriformes	Thraupidae	✓
Hemithraupis ruficapilla	saíra-ferrugem	Vieillot	1818	Passeriformes	Thraupidae	✓
Hemitriccus diops	olho-falso	Temminck	1822	Passeriformes	Rhynchocyclidae	✓
Hemitriccus kaempferi	maria-catarinense	Zimmer	1953	Passeriformes	Rhynchocyclidae	✓
Hemitriccus nidipendulus	tachuri-campainha	Wied	1831	Passeriformes	Rhynchocyclidae	✓
Hemitriccus obsoletus	catraca	Miranda-Ribeiro	1906	Passeriformes	Rhynchocyclidae	✓
Hemitriccus orbitatus	tiririzinho-do-mato	Wied	1831	Passeriformes	Rhynchocyclidae	✓
Herpetotheres cachinnans	acauã	Linnaeus	1758	Falconiformes	Falconidae	✓
Herpsilochmus rufimarginatus	chorozinho-de-asa-vermelha	Temminck	1822	Passeriformes	Thamnophilidae	✓
Heteronetta atricapilla	marreca-de-cabeça-preta	Merrem	1841	Anseriformes	Anatidae	✓
Heterospizias meridionalis	gavião-caboclo	Latham	1790	Accipitriformes	Accipitridae	✓
Heteroxolmis dominicanus	noivinha-de-rabo-preto	Vieillot	1823	Passeriformes	Tyrannidae	✓
Hieraspiza superciliosa	tauató-passarinho	Vieillot	1817	Accipitriformes	Accipitridae	✓
Himantopus melanurus	pernilongo-de-costas-brancas	Vieillot	1817	Charadriiformes	Recurvirostridae	✓
Hirundinea ferruginea	gibão-de-couro	Gmelin	1788	Passeriformes	Tyrannidae	✓
Hirundo rustica	andorinha-de-bando	Linnaeus	1758	Passeriformes	Hirundinidae	✓
Hydropsalis anomala	curiango-do-banhado	Gould	1837	Caprimulgiformes	Caprimulgidae	✓
Hydropsalis forcipata	bacurau-tesourão	Nitzsch	1840	Caprimulgiformes	Caprimulgidae	✓
Hydropsalis longirostris	bacurau-da-telha	Bonaparte	1825	Caprimulgiformes	Caprimulgidae	✓
Hydropsalis parvula	bacurau-chintã	Gould	1837	Caprimulgiformes	Caprimulgidae	✓
Hydropsalis torquata	bacurau-tesoura	Gmelin	1789	Caprimulgiformes	Caprimulgidae	✓
Hylocharis chrysura	beija-flor-dourado	Shaw	1812	Apodiformes	Trochilidae	✓
Hylophilus poicilotis	verdinho-coroado	Temminck	1822	Passeriformes	Vireonidae	✓
Hymenops perspicillatus	viuvinha-de-óculos	Gmelin	1789	Passeriformes	Tyrannidae	✓
Hypoedaleus guttatus	chocão-carijó	Vieillot	1816	Passeriformes	Thamnophilidae	✓
Icterus galbula	corrupião-de-baltimore	Linnaeus	1758	Passeriformes	Icteridae	✓
Icterus pyrrhopterus	encontro	Vieillot	1819	Passeriformes	Icteridae	✓
Ictinia plumbea	sovi	Gmelin	1788	Accipitriformes	Accipitridae	✓
Ilicura militaris	tangarazinho	Shaw & Nodder	1809	Passeriformes	Pipridae	✓
Ixobrychus exilis	socoí-vermelho	Gmelin	1789	Pelecaniformes	Ardeidae	✓
Ixobrychus involucris	socoí-amarelo	Vieillot	1823	Pelecaniformes	Ardeidae	✓
Jabiru mycteria	tuiuiú	Lichtenstein	1819	Ciconiiformes	Ciconiidae	✓
Jacana jacana	jaçanã	Linnaeus	1766	Charadriiformes	Jacanidae	✓
Knipolegus cyanirostris	maria-preta-de-bico-azulado	Vieillot	1818	Passeriformes	Tyrannidae	✓
Knipolegus lophotes	maria-preta-de-penacho	Boie	1828	Passeriformes	Tyrannidae	✓
Knipolegus nigerrimus	maria-preta-de-garganta-vermelha	Vieillot	1818	Passeriformes	Tyrannidae	✓
Larus atlanticus	gaivota-de-rabo-preto	Olrog	1958	Charadriiformes	Laridae	✓
Larus dominicanus	gaivotão	Lichtenstein	1823	Charadriiformes	Laridae	✓
Laterallus exilis	sanã-do-capim	Temminck	1831	Gruiformes	Rallidae	✓
Laterallus flaviventer	sanã-amarela	Boddaert	1783	Gruiformes	Rallidae	✓
Laterallus leucopyrrhus	sanã-vermelha	Vieillot	1819	Gruiformes	Rallidae	✓
Laterallus melanophaius	sanã-parda	Vieillot	1819	Gruiformes	Rallidae	✓
Laterallus spilopterus	sanã-cinza	Durnford	1877	Gruiformes	Rallidae	✓
Lathrotriccus euleri	enferrujado	Cabanis	1868	Passeriformes	Tyrannidae	✓
Legatus leucophaius	bem-te-vi-pirata	Vieillot	1818	Passeriformes	Tyrannidae	✓
Leistes superciliaris	polícia-inglesa-do-sul	Bonaparte	1850	Passeriformes	Icteridae	✓
Lepidocolaptes angustirostris	arapaçu-de-cerrado	Vieillot	1818	Passeriformes	Dendrocolaptidae	✓
Lepidocolaptes falcinellus	arapaçu-escamoso-do-sul	Cabanis & Heine	1859	Passeriformes	Dendrocolaptidae	✓
Leptasthenura setaria	grimpeiro	Temminck	1824	Passeriformes	Furnariidae	✓
Leptasthenura striolata	grimpeirinho	Pelzeln	1856	Passeriformes	Furnariidae	✓
Leptodon cayanensis	gavião-gato	Latham	1790	Accipitriformes	Accipitridae	✓
Leptopogon amaurocephalus	cabeçudo	Tschudi	1846	Passeriformes	Rhynchocyclidae	✓
Leptotila rufaxilla	juriti-de-testa-branca	Richard & Bernard	1792	Columbiformes	Columbidae	✓
Leptotila verreauxi	juriti-pupu	Bonaparte	1855	Columbiformes	Columbidae	✓
Lessonia rufa	colegial	Gmelin	1789	Passeriformes	Tyrannidae	✓
Leucochloris albicollis	beija-flor-de-papo-branco	Vieillot	1818	Apodiformes	Trochilidae	✓
Leucophaeus atricilla	gaivota-alegre	Linnaeus	1758	Charadriiformes	Laridae	✓
Leucophaeus modestus	gaivota-cinzenta	Tschudi	1843	Charadriiformes	Laridae	✓
Leucophaeus pipixcan	gaivota-de-franklin	Wagler	1831	Charadriiformes	Laridae	✓
Limnoctites rectirostris	arredio-do-gravatá	Gould	1839	Passeriformes	Furnariidae	✓
Limnodromus griseus	maçarico-de-costas-brancas	Gmelin	1789	Charadriiformes	Scolopacidae	✓
Limnornis curvirostris	joão-da-palha	Gould	1839	Passeriformes	Furnariidae	✓
Limosa haemastica	maçarico-de-bico-virado	Linnaeus	1758	Charadriiformes	Scolopacidae	✓
Lipaugus lanioides	tropeiro-da-serra	Lesson	1844	Passeriformes	Cotingidae	✓
Lochmias nematura	joão-porca	Lichtenstein	1823	Passeriformes	Furnariidae	✓
Lophornis chalybeus	topetinho-verde	Vieillot	1822	Apodiformes	Trochilidae	✓
Lophornis magnificus	topetinho-vermelho	Vieillot	1817	Apodiformes	Trochilidae	✓
Loriotus cristatus	tiê-galo	Gmelin	1789	Passeriformes	Thraupidae	✓
Lurocalis semitorquatus	tuju	Gmelin	1789	Caprimulgiformes	Caprimulgidae	✓
Machetornis rixosa	suiriri-cavaleiro	Vieillot	1819	Passeriformes	Tyrannidae	✓
Mackenziaena leachii	borralhara-assobiadora	Such	1825	Passeriformes	Thamnophilidae	✓
Mackenziaena severa	borralhara	Lichtenstein	1823	Passeriformes	Thamnophilidae	✓
Macronectes giganteus	petrel-grande	Gmelin	1789	Procellariiformes	Procellariidae	✓
Macronectes halli	petrel-grande-do-norte	Mathews	1912	Procellariiformes	Procellariidae	✓
Malacoptila striata	barbudo-rajado	Spix	1824	Galbuliformes	Bucconidae	✓
Manacus manacus	rendeira	Linnaeus	1766	Passeriformes	Pipridae	✓
Mareca sibilatrix	marreca-oveira	Poeppig	1829	Anseriformes	Anatidae	✓
Megaceryle torquata	martim-pescador-grande	Linnaeus	1766	Coraciiformes	Alcedinidae	✓
Megarynchus pitangua	neinei	Linnaeus	1766	Passeriformes	Tyrannidae	✓
Megascops atricapilla	corujinha-sapo	Temminck	1822	Strigiformes	Strigidae	✓
Megascops choliba	corujinha-do-mato	Vieillot	1817	Strigiformes	Strigidae	✓
Megascops sanctaecatarinae	corujinha-do-sul	Salvin	1897	Strigiformes	Strigidae	✓
Melanerpes candidus	pica-pau-branco	Otto	1796	Piciformes	Picidae	✓
Melanerpes flavifrons	benedito-de-testa-amarela	Vieillot	1818	Piciformes	Picidae	✓
Merulaxis ater	entufado	Lesson	1830	Passeriformes	Rhinocryptidae	✓
Mesembrinibis cayennensis	coró-coró	Gmelin	1789	Pelecaniformes	Threskiornithidae	✓
Micrastur ruficollis	falcão-caburé	Vieillot	1817	Falconiformes	Falconidae	✓
Micrastur semitorquatus	falcão-relógio	Vieillot	1817	Falconiformes	Falconidae	✓
Micrococcyx cinereus	papa-lagarta-cinzento	Vieillot	1817	Cuculiformes	Cuculidae	✓
Microspingus cabanisi	quete-do-sul	Hellmayr	1922	Passeriformes	Thraupidae	✓
Milvago chimachima	carrapateiro	Vieillot	1816	Falconiformes	Falconidae	✓
Milvago chimango	chimango	Vieillot	1816	Falconiformes	Falconidae	✓
Mimus saturninus	sabiá-do-campo	Lichtenstein	1823	Passeriformes	Mimidae	✓
Mimus triurus	calhandra-de-três-rabos	Vieillot	1818	Passeriformes	Mimidae	✓
Mionectes rufiventris	abre-asa-de-cabeça-cinza	Cabanis	1846	Passeriformes	Rhynchocyclidae	✓
Molothrus bonariensis	chupim	Gmelin	1789	Passeriformes	Icteridae	✓
Molothrus oryzivorus	iraúna-grande	Gmelin	1788	Passeriformes	Icteridae	✓
Molothrus rufoaxillaris	chupim-azeviche	Cassin	1866	Passeriformes	Icteridae	✓
Morus serrator	atobá-australiano	Gray	1843	Suliformes	Sulidae	✓
Muscipipra vetula	tesoura-cinzenta	Lichtenstein	1823	Passeriformes	Tyrannidae	✓
Mustelirallus albicollis	sanã-carijó	Vieillot	1819	Gruiformes	Rallidae	✓
Mycteria americana	cabeça-seca	Linnaeus	1758	Ciconiiformes	Ciconiidae	✓
Myiarchus ferox	maria-cavaleira	Gmelin	1789	Passeriformes	Tyrannidae	✓
Myiarchus swainsoni	irré	Cabanis & Heine	1859	Passeriformes	Tyrannidae	✓
Myiobius atricaudus	assanhadinho-de-cauda-preta	Lawrence	1863	Passeriformes	Onychorhynchidae	✓
Myiobius barbatus	assanhadinho	Gmelin	1789	Passeriformes	Onychorhynchidae	✓
Myiodynastes maculatus	bem-te-vi-rajado	Statius Muller	1776	Passeriformes	Tyrannidae	✓
Myiopagis caniceps	guaracava-cinzenta	Swainson	1835	Passeriformes	Tyrannidae	✓
Myiopagis viridicata	guaracava-de-crista-alaranjada	Vieillot	1817	Passeriformes	Tyrannidae	✓
Myiophobus fasciatus	filipe	Statius Muller	1776	Passeriformes	Tyrannidae	✓
Myiopsitta monachus	caturrita	Boddaert	1783	Psittaciformes	Psittacidae	✓
Myiornis auricularis	miudinho	Vieillot	1818	Passeriformes	Rhynchocyclidae	✓
Myiothlypis leucoblephara	pula-pula-assobiador	Vieillot	1817	Passeriformes	Parulidae	✓
Myiothlypis rivularis	pula-pula-ribeirinho	Wied	1821	Passeriformes	Parulidae	✓
Myiozetetes similis	bentevizinho-de-penacho-vermelho	Spix	1825	Passeriformes	Tyrannidae	✓
Myrmoderus squamosus	papa-formiga-de-grota	Pelzeln	1868	Passeriformes	Thamnophilidae	✓
Myrmotherula unicolor	choquinha-cinzenta	Menetrés	1835	Passeriformes	Thamnophilidae	✓
Nannopterum brasilianum	biguá	Gmelin	1789	Suliformes	Phalacrocoracidae	✓
Nemosia pileata	saíra-de-chapéu-preto	Boddaert	1783	Passeriformes	Thraupidae	✓
Nengetus cinereus	primavera	Vieillot	1816	Passeriformes	Tyrannidae	✓
Neocrex erythrops	turu-turu	Sclater	1867	Gruiformes	Rallidae	✓
Netta erythrophthalma	paturi-preta	Wied	1832	Anseriformes	Anatidae	✓
Netta peposaca	marrecão	Vieillot	1816	Anseriformes	Anatidae	✓
Nomonyx dominicus	marreca-caucau	Linnaeus	1766	Anseriformes	Anatidae	✓
Nonnula rubecula	macuru	Spix	1824	Galbuliformes	Bucconidae	✓
Notharchus swainsoni	macuru-de-barriga-castanha	Gray	1846	Galbuliformes	Bucconidae	✓
Nothura maculosa	codorna-amarela	Temminck	1815	Tinamiformes	Tinamidae	✓
Numenius hudsonicus	maçarico-de-bico-torto	Latham	1790	Charadriiformes	Scolopacidae	✓
Nyctanassa violacea	savacu-de-coroa	Linnaeus	1758	Pelecaniformes	Ardeidae	✓
Nyctibius griseus	urutau	Gmelin	1789	Nyctibiiformes	Nyctibiidae	✓
Nycticorax nycticorax	socó-dorminhoco	Linnaeus	1758	Pelecaniformes	Ardeidae	✓
Nycticryphes semicollaris	narceja-de-bico-torto	Vieillot	1816	Charadriiformes	Rostratulidae	✓
Nyctidromus albicollis	bacurau	Gmelin	1789	Caprimulgiformes	Caprimulgidae	✓
Nystalus chacuru	joão-bobo	Vieillot	1816	Galbuliformes	Bucconidae	✓
Oceanites oceanicus	alma-de-mestre	Kuhl	1820	Procellariiformes	Oceanitidae	✓
Odontophorus capueira	uru	Spix	1825	Galliformes	Odontophoridae	✓
Onychorhynchus swainsoni	maria-leque-do-sudeste	Pelzeln	1868	Passeriformes	Onychorhynchidae	✓
Orchesticus abeillei	sanhaço-pardo	Lesson	1839	Passeriformes	Thraupidae	✓
Oreopholus ruficollis	batuíra-de-papo-ferrugíneo	Wagler	1829	Charadriiformes	Charadriidae	✓
Ortalis squamata	aracuã-escamoso	Lesson	1829	Galliformes	Cracidae	✓
Orthogonys chloricterus	catirumbava	Vieillot	1819	Passeriformes	Mitrospingidae	✓
Oxyruncus cristatus	araponga-do-horto	Swainson	1821	Passeriformes	Oxyruncidae	✓
Oxyura vittata	marreca-rabo-de-espinho	Philippi	1860	Anseriformes	Anatidae	✓
Pachyramphus castaneus	caneleiro	Jardine & Selby	1827	Passeriformes	Tityridae	✓
Pachyramphus marginatus	caneleiro-bordado	Lichtenstein	1823	Passeriformes	Tityridae	✓
Pachyramphus polychopterus	caneleiro-preto	Vieillot	1818	Passeriformes	Tityridae	✓
Pachyramphus validus	caneleiro-de-chapéu-preto	Lichtenstein	1823	Passeriformes	Tityridae	✓
Pachyramphus viridis	caneleiro-verde	Vieillot	1816	Passeriformes	Tityridae	✓
Pandion haliaetus	águia-pescadora	Linnaeus	1758	Accipitriformes	Pandionidae	✓
Panyptila cayennensis	andorinhão-estofador	Gmelin	1789	Apodiformes	Apodidae	✓
Parabuteo leucorrhous	gavião-de-sobre-branco	Quoy & Gaimard	1824	Accipitriformes	Accipitridae	✓
Parabuteo unicinctus	gavião-asa-de-telha	Temminck	1824	Accipitriformes	Accipitridae	✓
Pardirallus maculatus	saracura-carijó	Boddaert	1783	Gruiformes	Rallidae	✓
Pardirallus nigricans	saracura-sanã	Vieillot	1819	Gruiformes	Rallidae	✓
Pardirallus sanguinolentus	saracura-do-banhado	Swainson	1838	Gruiformes	Rallidae	✓
Paroaria coronata	cardeal	Miller	1776	Passeriformes	Thraupidae	✓
Passer domesticus	pardal	Linnaeus	1758	Passeriformes	Passeridae	✓
Patagioenas cayennensis	pomba-galega	Bonnaterre	1792	Columbiformes	Columbidae	✓
Patagioenas picazuro	pomba-asa-branca	Temminck	1813	Columbiformes	Columbidae	✓
Patagioenas plumbea	pomba-amargosa	Vieillot	1818	Columbiformes	Columbidae	✓
Penelope obscura	jacuguaçu	Temminck	1815	Galliformes	Cracidae	✓
Penelope superciliaris	jacupemba	Temminck	1815	Galliformes	Cracidae	✓
Petrochelidon pyrrhonota	andorinha-de-dorso-acanelado	Vieillot	1817	Passeriformes	Hirundinidae	✓
Phacellodomus ferrugineigula	joão-botina-do-brejo	Pelzeln	1858	Passeriformes	Furnariidae	✓
Phacellodomus striaticollis	tio-tio	Orbigny & Lafresnaye	1838	Passeriformes	Furnariidae	✓
Phaethornis eurynome	rabo-branco-de-garganta-rajada	Lesson	1832	Apodiformes	Trochilidae	✓
Phaethornis pretrei	rabo-branco-acanelado	Lesson & Delattre	1839	Apodiformes	Trochilidae	✓
Phaethornis squalidus	rabo-branco-pequeno	Temminck	1822	Apodiformes	Trochilidae	✓
Phaetusa simplex	trinta-réis-grande	Gmelin	1789	Charadriiformes	Laridae	✓
Phalaropus fulicarius	pisa-n'água-de-bico-grosso	Linnaeus	1758	Charadriiformes	Scolopacidae	✓
Phalaropus tricolor	pisa-n'água	Vieillot	1819	Charadriiformes	Scolopacidae	✓
Phibalura flavirostris	tesourinha-da-mata	Vieillot	1816	Passeriformes	Cotingidae	✓
Philydor atricapillus	limpa-folha-coroado	Wied	1821	Passeriformes	Furnariidae	✓
Phimosus infuscatus	tapicuru	Lichtenstein	1823	Pelecaniformes	Threskiornithidae	✓
Phleocryptes melanops	bate-bico	Vieillot	1817	Passeriformes	Furnariidae	✓
Phoenicoparrus andinus	flamingo-dos-andes	Philippi	1854	Phoenicopteriformes	Phoenicopteridae	✓
Phyllomyias fasciatus	piolhinho	Thunberg	1822	Passeriformes	Tyrannidae	✓
Phyllomyias griseocapilla	piolhinho-serrano	Sclater	1862	Passeriformes	Tyrannidae	✓
Phyllomyias virescens	piolhinho-verdoso	Temminck	1824	Passeriformes	Tyrannidae	✓
